SNWMSS_ID,LCTN_ID,LCTN_NM,ELEVATION,STATUS,LATITUDE,LONGITUDE,SHAPE,OBJECTID,X_COORDINATE,Y_COORDINATE
83,1D07,Hope,70,Inactive,49.440616,-121.380546,,1147307,1335015.8786999984,502522.8386000013
84,1D08,Stave Lake,1250,Active,49.579881,-122.315591,,1147308,1266467.5399,514003.90029999893
85,1D09,Wahleach Lake,1480,Inactive,49.232061,-121.580187,,1147309,1322002.5911000005,478468.07440000214
86,1D10,Nahatlatch River,1550,Active,49.825612,-122.059405,,1147310,1283457.1187999998,542280.5577000016
87,1D11,Boston Bar Creek (Upper),1340,Inactive,49.584667,-121.216247,,1147311,1345832.3096999987,519289.34780000057
88,1D12,Boston Bar Creek (Lower),1230,Inactive,49.594291,-121.102493,,1147312,1353969.0116000008,520918.95339999814
89,1D13,Wolverine Creek,250,Inactive,50.505828,-122.978897,,1147313,1214133.387700001,614635.2267000014
90,1D14,Ottomite,1460,Inactive,49.60276,-121.153656,,1147314,1350212.5952000013,521603.7328999974
91,1D15,Great Bear,1660,Inactive,49.486042,-121.107109,,1147315,1354466.9174000006,508891.9180000024
92,1D16,Dickson Lake,1160,Active,49.316287,-122.068931,,1147316,1285914.9180999994,485711.9898000024
93,1D18,Disappointment Lake,1050,Active,49.554483,-122.758611,,1147317,1234580.1231,509616.14919999987
94,1E01,Blue River,690,Inactive,52.167964,-119.241294,,1147318,1460817.9433,817246.6098999996
95,1E01A,Blue River Town,670,Inactive,52.119682,-119.270652,,1147319,1459333.2414999993,811697.2938000048
96,1E01B,Blue River,670,Active,52.13308,-119.2895,,1147320,1457909.1918000006,813062.1755000027
97,1E02,Mount Cook,1830,Inactive,52.227588,-119.325881,,1147321,1454442.0830000006,823317.6367000043
98,1E02A,Mount Cook,1570,Inactive,52.18214,-119.3227,,1147322,1455135.2824000004,818293.3682000004
99,1E03,Trophy Mountain,1900,Inactive,51.773571,-119.958679,,1147323,1415778.8276000004,769019.8593999995
100,1E03A,Trophy Mountain,1860,Active,51.80811,-119.9388,,1147324,1416814.4148,772972.2529000016
101,1E04,Mount Albreda,1920,Inactive,52.499488,-119.048401,,1147325,1470303.7048,855308.953800003
102,1E05,Knouff Lake,1200,Inactive,50.9833,-120.1333,,1147326,1411077.0021,680267.101599995
103,1E06,Cook Forks,1390,Inactive,52.16667,-119.3167,,1147327,1455705.6278000013,816614.8585999999
104,1E07,Adams River,1720,Active,51.58406,-119.4267,,1147328,1454248.1847,751252.721499999
105,1E08,Azure River,1640,Inactive,52.595917,-119.722694,,1147329,1423858.7920999986,861757.8241999997
106,1E10,Kostal Lake,1770,Inactive,52.203334,-120.016944,,1147330,1407734.3328000004,816415.9088000003
107,1E11,Mount Saint Anne,1770,Inactive,52.261878,-119.234527,,1147331,1460278.7448999998,827713.9117000019
108,1E12,Mcqueen Lake,1100,Inactive,50.794624,-120.395347,,1147332,1394416.367,657835.7139999997
109,1E13,North Clemina Creek,1860,Inactive,52.56295,-118.951606,,1147333,1476127.2696,862998.8706000028
110,1F01,Aberdeen Lake,1310,Inactive,50.110721,-119.092033,,1147334,1493286.3303000003,590187.2021999992
111,1F01A,Aberdeen Lake,1310,Active,50.14733,-119.0534,,1147335,1495637.2126999996,594510.2442999985
112,1F01B,Haddo Lake,1300,Inactive,50.073745,-119.110512,,1147336,1492370.6276999994,585964.7612000015
113,1F02,Anglemont,1190,Active,50.999721,-119.186386,,1147337,1477060.3839,688028.5027000047
114,1F03,Park Mountain,1890,Inactive,50.446899,-118.616523,,1147338,1523228.1120999993,630817.419999999
115,1F04,Enderby,1900,Active,50.653025,-118.926903,,1147339,1499019.4185,651400.3699000031
116,1F05,Humamilt Lake,1280,Inactive,51.330181,-119.103507,,1147340,1479264.7666000002,725224.4256999977
117,2A01,Canoe River,1040,Inactive,52.819549,-119.176948,,1147341,1458198.9393000004,889994.3828000026
118,2A01A,Canoe River,870,Inactive,52.779445,-119.27111,,1147342,1452319.2800000005,884935.9800999956
119,2A02,Glacier,1250,Active,51.254165,-117.491386,,1147343,1591824.282700001,729002.0316999927
120,2A02A,New Glacier,1250,Inactive,51.265895,-117.468467,,1147344,1593253.6237,730491.1035000058
121,2A03,Field,1160,Inactive,51.311962,-116.495002,,1147345,1659871.8284000007,744197.583399999
122,2A03A,Field,1285,Active,51.38972,-116.508331,,1147346,1657794.012399999,752658.5090000033
123,2A04,Invermere,1040,Inactive,50.475238,-116.088569,,1147347,1700909.192199999,655807.5215000035
124,2A04A,Invermere,1070,Inactive,50.558216,-116.301536,,1147348,1684682.8018999987,662870.6103000008
125,2A05,Kinbasket Lake,690,Inactive,51.978019,-117.878349,,1147349,1555795.8367000003,805973.5614
126,2A06,Mount Revelstoke,1830,Inactive,51.03524,-118.146637,,1147350,1549142.281700001,699499.3536999952
127,2A07,Kicking Horse,1650,Active,51.440556,-116.355834,,1147351,1667528.2426999998,759698.171000001
128,2A08,Middle River,1050,Inactive,51.97406,-117.993209,,1147352,1548019.1217,804639.6258000005
129,2A09,Blackwater Lookout,1680,Inactive,51.592972,-117.352943,,1147353,1596806.8326999997,767635.9593999973
130,2A10,Blackwater Creek,1580,Inactive,51.562076,-117.326339,,1147354,1599054.5899999999,764443.5691999989
131,2A11,Beaverfoot,1890,Active,51.276217,-116.884035,,1147355,1633527.7528000004,736695.9882000089
132,2A12,Bigmouth Creek,1220,Inactive,51.845123,-118.499633,,1147356,1515011.3753,786551.1106999954
133,2A13,Wood River,1220,Inactive,52.11837,-118.354171,,1147357,1521677.587999999,817902.0146000013
134,2A14,Mount Abbot,2010,Active,51.23722,-117.508331,,1147358,1590877.2015999998,726986.4785000011
135,2A15,Mica Creek,560,Inactive,52.06879,-118.521202,,1147359,1510906.7681000002,811187.9344000025
136,2A16,Goldstream,1920,Active,51.698224,-118.447187,,1147360,1520342.3995999992,770654.7215999961
137,2A17,Fidelity Mountain,1870,Active,51.23722,-117.694725,,1147361,1577967.5501000008,725447.700699999
138,2A18,Keystone Creek,1890,Inactive,51.411194,-118.360709,,1147362,1529721.9360000002,739496.2665000055
139,2A19,Vermont Creek,1520,Active,50.962685,-116.941963,,1147363,1633980.151000002,701543.357799992
140,2A20,Watam Lake,1810,Inactive,51.325874,-118.509986,,1147364,1520413.6859000006,728937.7684000032
141,2A22,Sunbeam Lake,2010,Inactive,51.589903,-117.653474,,1147365,1576202.8148999996,764806.5030000024
